index,date,ID,FunSys,FunSys_item,EqGr,EqGr_no,ComGr_no,Unit,Label,MsureGr,MsureGr_lvl,Value
1,2007-07-01,MBD21CY001_XQ60,MBD,21,CY,001_X,XQ60,um,REL VIB SHAFT CPRSR R,REL VIB SHAFT CPRSR,R,29.460954919738427
2,2007-07-01,MBD21CY002_XQ60,MBD,21,CY,002_X,XQ60,um,REL VIB SHAFT CPRSR L,REL VIB SHAFT CPRSR,L,55.262791943336225
3,2007-07-01,MBD22CT002_XQ60,MBD,22,CT,002_X,XQ60,degC,T THRUST BEAR SIDE 5H SCLD VAL,T THRUST BEAR,5H,78.71148291383854
4,2007-07-01,MBD22CT003_XQ60,MBD,22,CT,003_X,XQ60,degC,T THRUST BEAR SIDE 8H SCLD VAL,T THRUST BEAR,8H,78.2218449597257
5,2007-07-01,MBD22CT004_XQ60,MBD,22,CT,004_X,XQ60,degC,T THRUST BEAR SIDE 11H SCLD VAL,T THRUST BEAR,11H,81.4843916062801
6,2007-07-01,MBD22CT005_XQ60,MBD,22,CT,005_X,XQ60,degC,T THRUST BEAR SIDE 2H SCLD VAL,T THRUST BEAR,2H,80.3190778356985
7,2007-07-01,MBD22CT006_XQ60,MBD,22,CT,006_X,XQ60,degC,T OPP THRUST BEAR 2H SCLD VAL,T OPP THRUST BEAR,2H,60.75231216395197
8,2007-07-01,MBD22CT007_XQ60,MBD,22,CT,007_X,XQ60,degC,T OPP THRUST BEAR 5H SCLD VAL,T OPP THRUST BEAR,5H,61.136983061971065
9,2007-07-01,MBH40CF100_XQ60,MBH,40,CF,100_X,XQ60,mbar,F AIR DESP OTC AP,F AIR DESP OTC AP,AP1,223.12394448256944
10,2007-07-01,MBH40CP015_XQ60,MBH,40,CP,015_X,XQ60,mbar,DP QW NOZ HP,DP QW NOZ HP,HP1,336.1887796199248
11,2007-07-01,MBH40CP100_XQ60,MBH,40,CP,100_X,XQ60,barA,P AIR DESP OTC AP,P AIR DESP,AP1,25.457160910201388
12,2007-07-01,MBH40CP100_XQ65,MBH,40,CP,100_X,XQ65,barA,P TOT AIR DESO OTC AP,P TOT AIR DESO,AP1,25.359201306890625
13,2007-07-01,MBH40CT001_XQ60,MBH,40,CT,001_X,XQ60,degC,T AFTR HPCLR 1,T AFT HPCLR,HPCLR_1,340.1418879264699
14,2007-07-01,MBH40CT002_XQ60,MBH,40,CT,002_X,XQ60,degC,T AFT HPCLR 2,T AFT HPCLR,HPCLR_2,339.9405212282581
15,2007-07-01,MBH40CT003_XQ60,MBH,40,CT,003_X,XQ60,degC,T AFT HPCLR 3,T AFT HPCLR,HPCLR_3,340.00663346759836
16,2007-07-01,MBH40CT011_XQ60,MBH,40,CT,011_X,XQ60,degC,T COOL AIR HP TRB DISK11 SCLD VAL,T COOL AIR HP TRB,DISK11,445.0906208779456
17,2007-07-01,MBH40CT012_XQ60,MBH,40,CT,012_X,XQ60,degC,T COOL AIR HP TRB DISK12 SCLD VAL,T COOL AIR HP TRB,DISK12,444.9967939201562
18,2007-07-01,MBH40CT021_XQ60,MBH,40,CT,021_X,XQ60,degC,T COMP 1 MBH40GD010,T COMP,MBH40GD010,29.4991117303669
19,2007-07-01,MBH40CT022_XQ60,MBH,40,CT,022_X,XQ60,degC,T COMP 2 MBH40GD010,T COMP,MBH40GD010,29.304226676494793
20,2007-07-01,MBH40CT023_XQ60,MBH,40,CT,023_X,XQ60,degC,T COMP 3 MBH40GD010,T COMP,MBH40GD010,29.228638262523727
21,2007-07-01,MBH40CT031_XQ60,MBH,40,CT,031_X,XQ60,degC,T COMPR ROT END FACE SCLD VAL,T COMPR ROT,End Face,371.39394625222803
22,2007-07-01,MBH40CT032_XQ60,MBH,40,CT,032_X,XQ60,degC,T COMPR ROT END FACE SCLD VAL,T COMPR ROT,End Face,371.4334094282176
23,2007-07-01,MBH40FL001_XQ01,MBH,40,FL,001_X,XQ01,m,L1 FDW HP OTC,FDW HP OTC,L1,13.209659594412036
24,2007-07-01,MBH40FL002_XQ01,MBH,40,FL,002_X,XQ01,m,L2 FDW HP OTC,FDW HP OTC,L2,13.209659594412036
25,2007-07-01,MBH40FL901_XQ01,MBH,40,FL,901_X,XQ01,m,L 2oo3 FDW HP OTC,FDW HP OTC,L2oo3,13.208202453243056
26,2007-07-01,MBH50CT001_XQ60,MBH,50,CT,001_X,XQ60,degC,T AROUND BEAR HOUSING 1 SCLD VAL,T BRG HOUSING,T1,114.72551602704861
27,2007-07-01,MBH50CT002_XQ60,MBH,50,CT,002_X,XQ60,degC,T AROUND BEAR HOUSING 1 SCLD VAL,T BRG HOUSING,T1,114.17850732358218
28,2007-07-01,MBH50CT901_XJ60,MBH,50,CT,901_X,XJ60,degC,T ARND BRG HOUSING,T BRG HOUSING,T3,114.7255287007581
29,2007-07-02,MBD21CY001_XQ60,MBD,21,CY,001_X,XQ60,um,REL VIB SHAFT CPRSR R,REL VIB SHAFT CPRSR,R,28.791307097134837
30,2007-07-02,MBD21CY002_XQ60,MBD,21,CY,002_X,XQ60,um,REL VIB SHAFT CPRSR L,REL VIB SHAFT CPRSR,L,53.50587121492072
31,2007-07-02,MBD22CT002_XQ60,MBD,22,CT,002_X,XQ60,degC,T THRUST BEAR SIDE 5H SCLD VAL,T THRUST BEAR,5H,77.07466526340336
32,2007-07-02,MBD22CT003_XQ60,MBD,22,CT,003_X,XQ60,degC,T THRUST BEAR SIDE 8H SCLD VAL,T THRUST BEAR,8H,76.63039852600984
33,2007-07-02,MBD22CT004_XQ60,MBD,22,CT,004_X,XQ60,degC,T THRUST BEAR SIDE 11H SCLD VAL,T THRUST BEAR,11H,79.80322263731597
34,2007-07-02,MBD22CT005_XQ60,MBD,22,CT,005_X,XQ60,degC,T THRUST BEAR SIDE 2H SCLD VAL,T THRUST BEAR,2H,78.68751668932524
35,2007-07-02,MBD22CT006_XQ60,MBD,22,CT,006_X,XQ60,degC,T OPP THRUST BEAR 2H SCLD VAL,T OPP THRUST BEAR,2H,60.71152499469676
36,2007-07-02,MBD22CT007_XQ60,MBD,22,CT,007_X,XQ60,degC,T OPP THRUST BEAR 5H SCLD VAL,T OPP THRUST BEAR,5H,61.18416675241204
37,2007-07-02,MBH40CF100_XQ60,MBH,40,CF,100_X,XQ60,mbar,F AIR DESP OTC AP,F AIR DESP OTC AP,AP1,211.23906198814237
38,2007-07-02,MBH40CP015_XQ60,MBH,40,CP,015_X,XQ60,mbar,DP QW NOZ HP,DP QW NOZ HP,HP1,319.8445128215046
39,2007-07-02,MBH40CP100_XQ60,MBH,40,CP,100_X,XQ60,barA,P AIR DESP OTC AP,P AIR DESP,AP1,23.80920921873669
40,2007-07-02,MBH40CP100_XQ65,MBH,40,CP,100_X,XQ65,barA,P TOT AIR DESO OTC AP,P TOT AIR DESO,AP1,23.715446818751158
41,2007-07-02,MBH40CT001_XQ60,MBH,40,CT,001_X,XQ60,degC,T AFTR HPCLR 1,T AFT HPCLR,HPCLR_1,340.139653098397
42,2007-07-02,MBH40CT002_XQ60,MBH,40,CT,002_X,XQ60,degC,T AFT HPCLR 2,T AFT HPCLR,HPCLR_2,339.9298549637037
43,2007-07-02,MBH40CT003_XQ60,MBH,40,CT,003_X,XQ60,degC,T AFT HPCLR 3,T AFT HPCLR,HPCLR_3,339.99642822833914
44,2007-07-02,MBH40CT011_XQ60,MBH,40,CT,011_X,XQ60,degC,T COOL AIR HP TRB DISK11 SCLD VAL,T COOL AIR HP TRB,DISK11,443.50580266501737
45,2007-07-02,MBH40CT012_XQ60,MBH,40,CT,012_X,XQ60,degC,T COOL AIR HP TRB DISK12 SCLD VAL,T COOL AIR HP TRB,DISK12,443.42098430207176
46,2007-07-02,MBH40CT021_XQ60,MBH,40,CT,021_X,XQ60,degC,T COMP 1 MBH40GD010,T COMP,MBH40GD010,29.772598062917247
47,2007-07-02,MBH40CT022_XQ60,MBH,40,CT,022_X,XQ60,degC,T COMP 2 MBH40GD010,T COMP,MBH40GD010,29.545426245514467
48,2007-07-02,MBH40CT023_XQ60,MBH,40,CT,023_X,XQ60,degC,T COMP 3 MBH40GD010,T COMP,MBH40GD010,29.456281141512733
49,2007-07-02,MBH40CT031_XQ60,MBH,40,CT,031_X,XQ60,degC,T COMPR ROT END FACE SCLD VAL,T COMPR ROT,End Face,369.8543417756134
50,2007-07-02,MBH40CT032_XQ60,MBH,40,CT,032_X,XQ60,degC,T COMPR ROT END FACE SCLD VAL,T COMPR ROT,End Face,369.85184164760415
51,2007-07-02,MBH40FL001_XQ01,MBH,40,FL,001_X,XQ01,m,L1 FDW HP OTC,FDW HP OTC,L1,12.799054189479746
52,2007-07-02,MBH40FL002_XQ01,MBH,40,FL,002_X,XQ01,m,L2 FDW HP OTC,FDW HP OTC,L2,12.799054189479746
53,2007-07-02,MBH40FL901_XQ01,MBH,40,FL,901_X,XQ01,m,L 2oo3 FDW HP OTC,FDW HP OTC,L2oo3,12.79425953937037
54,2007-07-02,MBH50CT001_XQ60,MBH,50,CT,001_X,XQ60,degC,T AROUND BEAR HOUSING 1 SCLD VAL,T BRG HOUSING,T1,112.86917832717013
55,2007-07-02,MBH50CT002_XQ60,MBH,50,CT,002_X,XQ60,degC,T AROUND BEAR HOUSING 1 SCLD VAL,T BRG HOUSING,T1,112.25129827594907
56,2007-07-02,MBH50CT901_XJ60,MBH,50,CT,901_X,XJ60,degC,T ARND BRG HOUSING,T BRG HOUSING,T3,112.8691820610706
57,2007-07-03,MBD21CY001_XQ60,MBD,21,CY,001_X,XQ60,um,REL VIB SHAFT CPRSR R,REL VIB SHAFT CPRSR,R,29.749277275927085
58,2007-07-03,MBD21CY002_XQ60,MBD,21,CY,002_X,XQ60,um,REL VIB SHAFT CPRSR L,REL VIB SHAFT CPRSR,L,55.75170802206887
59,2007-07-03,MBD22CT002_XQ60,MBD,22,CT,002_X,XQ60,degC,T THRUST BEAR SIDE 5H SCLD VAL,T THRUST BEAR,5H,78.8997718652118
60,2007-07-03,MBD22CT003_XQ60,MBD,22,CT,003_X,XQ60,degC,T THRUST BEAR SIDE 8H SCLD VAL,T THRUST BEAR,8H,78.40123165852026
61,2007-07-03,MBD22CT004_XQ60,MBD,22,CT,004_X,XQ60,degC,T THRUST BEAR SIDE 11H SCLD VAL,T THRUST BEAR,11H,81.67721890169618
62,2007-07-03,MBD22CT005_XQ60,MBD,22,CT,005_X,XQ60,degC,T THRUST BEAR SIDE 2H SCLD VAL,T THRUST BEAR,2H,80.49992109583681
