"","date","FunSys_item","H11","H2","H5","H8","AP1","DISK11","DISK12","End_Face","HP1","HPCLR_1","HPCLR_2","HPCLR_3","L","L1","L2","L2oo3","MBH40GD010","R","T1","T3","id"
"1",2007-07-01,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.3,NA,NA,NA,NA,29.5,NA,NA,1
"2",2007-07-01,22,81.5,70.5,69.9,78.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"3",2007-07-01,40,NA,NA,NA,NA,91.3,445.1,445,371.4,336.2,340.1,339.9,340,NA,13.2,13.2,13.2,29.3,NA,NA,NA,1
"4",2007-07-01,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.5,114.7,1
"5",2007-07-02,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.5,NA,NA,NA,NA,28.8,NA,NA,2
"6",2007-07-02,22,79.8,69.7,69.1,76.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"7",2007-07-02,40,NA,NA,NA,NA,86.3,443.5,443.4,369.9,319.8,340.1,339.9,340,NA,12.8,12.8,12.8,29.6,NA,NA,NA,2
"8",2007-07-02,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.6,112.9,2
"9",2007-07-03,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.8,NA,NA,NA,NA,29.7,NA,NA,3
"10",2007-07-03,22,81.7,70.6,69.9,78.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"11",2007-07-03,40,NA,NA,NA,NA,92.5,446,445.9,372,341,340.2,339.9,340,NA,13.3,13.3,13.3,29.6,NA,NA,NA,3
"12",2007-07-03,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.7,115,3
"13",2007-07-04,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.5,NA,NA,NA,NA,28.3,NA,NA,4
"14",2007-07-04,22,79.6,69.5,68.9,76.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"15",2007-07-04,40,NA,NA,NA,NA,86.6,443,442.9,369.1,321.2,340.1,339.9,340,NA,12.8,12.8,12.8,27.2,NA,NA,NA,4
"16",2007-07-04,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.5,111.8,4
"17",2007-07-05,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,29,NA,NA,5
"18",2007-07-05,22,81,70.2,69.6,77.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"19",2007-07-05,40,NA,NA,NA,NA,91.9,446.7,446.6,372.7,338.6,340.2,340,340,NA,13.3,13.3,13.3,28.9,NA,NA,NA,5
"20",2007-07-05,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.6,113.9,5
"21",2007-07-06,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8,NA,NA,NA,NA,22.5,NA,NA,6
"22",2007-07-06,22,70.4,62.5,62.1,67.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"23",2007-07-06,40,NA,NA,NA,NA,68.8,431.6,431.5,370.5,250,325,323.8,323.8,NA,10.1,10.2,10.2,28.9,NA,NA,NA,6
"24",2007-07-06,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.4,109.8,6
"25",2007-07-07,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,1.7,NA,NA,7
"26",2007-07-07,22,40.3,40.2,40.1,39.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"27",2007-07-07,40,NA,NA,NA,NA,3.9,277.9,277.1,249.1,0.5,143.8,137.9,137.9,NA,0.1,0.2,0.2,28.8,NA,NA,NA,7
"28",2007-07-07,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.1,95.7,7
"29",2007-07-08,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,5,NA,NA,8
"30",2007-07-08,22,43.4,42.9,43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"31",2007-07-08,40,NA,NA,NA,NA,9.4,199.8,199.2,171.8,23.7,130.3,124.4,124.6,NA,0.7,0.8,0.8,29.1,NA,NA,NA,8
"32",2007-07-08,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.8,74.1,8
"33",2007-07-09,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,1.7,NA,NA,9
"34",2007-07-09,22,40.4,40.3,40.2,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"35",2007-07-09,40,NA,NA,NA,NA,3.9,291.2,290.6,260,0.8,176.1,167.6,167.7,NA,-0.3,-0.3,-0.3,29.2,NA,NA,NA,9
"36",2007-07-09,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,82.4,9
"37",2007-07-10,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.8,NA,NA,NA,NA,30.3,NA,NA,10
"38",2007-07-10,22,81.7,70.6,70.3,79.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"39",2007-07-10,40,NA,NA,NA,NA,87.1,439.5,439.4,368.1,324.3,335.3,335,335,NA,12.5,12.6,12.5,29,NA,NA,NA,10
"40",2007-07-10,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.6,107.9,10
"41",2007-07-11,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.5,NA,NA,NA,NA,35.7,NA,NA,11
"42",2007-07-11,22,84.1,72,71.3,80.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"43",2007-07-11,40,NA,NA,NA,NA,91.9,447.1,446.9,372.2,340.2,340.1,339.9,340,NA,13.2,13.2,13.2,29.6,NA,NA,NA,11
"44",2007-07-11,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.8,115.1,11
"45",2007-07-12,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.6,NA,NA,NA,NA,35.3,NA,NA,12
"46",2007-07-12,22,84.6,72.3,71.6,81.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"47",2007-07-12,40,NA,NA,NA,NA,96.3,449.1,449,373.4,355.1,340.1,339.9,340,NA,13.6,13.6,13.6,28.5,NA,NA,NA,12
"48",2007-07-12,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.7,115.9,12
"49",2007-07-13,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.2,NA,NA,NA,NA,35.2,NA,NA,13
"50",2007-07-13,22,83.6,71.8,71,80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"51",2007-07-13,40,NA,NA,NA,NA,94.5,448.5,448.4,373.3,348.2,340.1,339.9,340,NA,13.4,13.4,13.4,28.4,NA,NA,NA,13
"52",2007-07-13,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.2,114.4,13
