"","date","FunSys_item","H11","H2","H5","H8","AP1","DISK11","DISK12","End_Face","HP1","HPCLR_1","HPCLR_2","HPCLR_3","L","L1","L2","L2oo3","MBH40GD010","R","T1","T3","id"
"1",2007-07-01 00:00:00,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.2,NA,NA,NA,NA,29.6,NA,NA,1
"2",2007-07-01 00:00:00,22,82.7,71.3,70.6,79.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"3",2007-07-01 00:00:00,40,NA,NA,NA,NA,93.1,445.4,445.3,371.6,341.9,340.1,339.9,340,NA,13.4,13.4,13.4,29.6,NA,NA,NA,1
"4",2007-07-01 00:00:00,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.5,115.8,1
"5",2007-07-01 01:00:00,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.1,NA,NA,NA,NA,29.3,NA,NA,2
"6",2007-07-01 01:00:00,22,81.3,70.5,70,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"7",2007-07-01 01:00:00,40,NA,NA,NA,NA,88,443.2,443.1,369.8,324.9,340.1,339.9,340,NA,12.9,12.9,12.9,29.7,NA,NA,NA,2
"8",2007-07-01 01:00:00,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.2,114.5,2
"9",2007-07-01 02:00:00,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.4,NA,NA,NA,NA,29.2,NA,NA,3
"10",2007-07-01 02:00:00,22,80.8,70.2,69.7,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"11",2007-07-01 02:00:00,40,NA,NA,NA,NA,86.8,442.9,442.8,369.4,319.9,340.1,339.9,340,NA,12.8,12.8,12.8,29.8,NA,NA,NA,3
"12",2007-07-01 02:00:00,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.4,113.7,3
"13",2007-07-01 03:00:00,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.2,NA,NA,NA,NA,29.1,NA,NA,4
"14",2007-07-01 03:00:00,22,79.8,69.8,69.3,76.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"15",2007-07-01 03:00:00,40,NA,NA,NA,NA,83.7,442,441.9,368.9,308.9,340.1,340,340,NA,12.6,12.6,12.6,29.9,NA,NA,NA,4
"16",2007-07-01 03:00:00,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.1,113.4,4
"17",2007-07-01 04:00:00,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,28.6,NA,NA,5
"18",2007-07-01 04:00:00,22,78.3,69.1,68.6,75.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"19",2007-07-01 04:00:00,40,NA,NA,NA,NA,81.1,440.8,440.7,368.1,301.4,340.1,339.9,340,NA,12.4,12.4,12.4,29.6,NA,NA,NA,5
"20",2007-07-01 04:00:00,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.9,112.3,5
"21",2007-07-01 05:00:00,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,NA,NA,NA,NA,28.2,NA,NA,6
"22",2007-07-01 05:00:00,22,77.9,68.9,68.4,74.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"23",2007-07-01 05:00:00,40,NA,NA,NA,NA,81.2,440.9,440.8,368.2,301.1,340.2,339.9,340,NA,12.4,12.4,12.4,29.1,NA,NA,NA,6
"24",2007-07-01 05:00:00,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.2,111.6,6
"25",2007-07-01 06:00:00,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5,NA,NA,NA,NA,27.9,NA,NA,7
"26",2007-07-01 06:00:00,22,77.8,68.9,68.3,74.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
